gene	gene_name_mut_table
ZZZ3	ZZZ3
ACACA	ACACA
ALKBH5	ALKBH5
ALYREF	ALYREF
ANKFY1	ANKFY1
AP2B1	AP2B1
APPBP2	APPBP2
ARHGAP23	ARHGAP23
ARHGAP44	ARHGAP44
ASIC2	ASIC2
ATAD5	ATAD5
ATP6V0A1	ATP6V0A1
ATXN7L3	ATXN7L3
RP11-1055B8.7	BAHCC1
BECN1	BECN1
BPTF	BPTF
CACNA1G	CACNA1G
CAMTA2	CAMTA2
CASKIN2	CASKIN2
CBX1	CBX1
CBX2	CBX2
CBX4	CBX4
CBX8	CBX8
CD79B	CD79B
CDC27	CDC27
CDK12	CDK12
CDK5R1	CDK5R1
CHD3	CHD3
CHMP6	CHMP6
CLTC	CLTC
CLUH	CLUH
CNP	CNP
COL1A1	COL1A1
COPS3	COPS3
CRK	CRK
CSNK1D	CSNK1D
CTDNEP1	CTDNEP1
CYTH1	CYTH1
DCAF7	DCAF7
DDX42	DDX42
DDX5	DDX5
DERL2	DERL2
DLG4	DLG4
DNAJC7	DNAJC7
EFTUD2	EFTUD2
EIF4A1	EIF4A1
EIF4A3	EIF4A3
ERN1	ERN1
FAM171A2	FAM171A2
FASN	FASN
FBXL20	FBXL20
FMNL1	FMNL1
FOXJ1	FOXJ1
FOXN1	FOXN1
FXR2	FXR2
GGNBP2	GGNBP2
GID4	GID4
GIT1	GIT1
GJC1	GJC1
GPATCH8	GPATCH8
GPS1	GPS1
GRB2	GRB2
HDAC5	HDAC5
HELZ	HELZ
HEXIM1	HEXIM1
HLF	HLF
HNF1B	HNF1B
HSF5	HSF5
IGF2BP1	IGF2BP1
IKZF3	IKZF3
INTS2	INTS2
JMJD6	JMJD6
KANSL1	KANSL1
KAT7	KAT7
KCNH4	KCNH4
KDM6B	KDM6B
KLHL10	KLHL10
KPNB1	KPNB1
LASP1	LASP1
LSM12	LSM12
LUC7L3	LUC7L3
MAP2K4	MAP2K4
MAP2K6	MAP2K6
MAP3K3	MAP3K3
MBTD1	MBTD1
MED1	MED1
MED13	MED13
C17orf104	MEIOC
MINK1	MINK1
MLLT6	MLLT6
MNT	MNT
